round,loss,accuracy,asr,evasion_rate,timestamp
1,0.929392,82.1100,,,2026-06-07 15:20:58
2,0.261569,93.4100,,,2026-06-07 15:21:05
3,0.170180,94.8900,,,2026-06-07 15:21:13
4,0.130190,96.1100,,,2026-06-07 15:21:21
5,0.100142,96.8400,,,2026-06-07 15:21:30
6,0.091277,97.2800,,,2026-06-07 15:21:38
7,0.086558,97.1800,,,2026-06-07 15:21:47
8,0.078396,97.5100,,,2026-06-07 15:21:56
9,0.071032,97.7000,,,2026-06-07 15:22:04
10,0.061318,98.2000,,,2026-06-07 15:22:13
11,0.067310,97.9300,,,2026-06-07 15:22:21
12,0.055960,98.3000,,,2026-06-07 15:22:29
13,0.055760,98.2700,,,2026-06-07 15:22:37
14,0.051035,98.4100,,,2026-06-07 15:22:45
15,0.050311,98.4400,,,2026-06-07 15:22:54
16,0.046068,98.4500,,,2026-06-07 15:23:03
17,0.046313,98.5000,,,2026-06-07 15:23:12
18,0.041405,98.7100,,,2026-06-07 15:23:21
19,0.042301,98.6500,,,2026-06-07 15:23:28
20,0.042862,98.6500,,,2026-06-07 15:23:35
21,0.042305,98.5600,,,2026-06-07 15:23:43
22,0.039989,98.6800,,,2026-06-07 15:23:51
23,0.035964,98.7900,,,2026-06-07 15:24:00
24,0.039833,98.7100,,,2026-06-07 15:24:09
25,0.034929,98.8000,,,2026-06-07 15:24:16
26,0.038089,98.6800,,,2026-06-07 15:24:24
27,0.036477,98.6900,,,2026-06-07 15:24:32
28,0.036273,98.7600,,,2026-06-07 15:24:39
29,0.039818,98.7100,,,2026-06-07 15:24:45
30,0.034480,98.7800,,,2026-06-07 15:24:53
