round,loss,accuracy,asr,evasion_rate,timestamp
1,0.929392,82.1100,,,2026-06-07 13:04:39
2,0.261569,93.4100,,,2026-06-07 13:04:46
3,0.170180,94.8900,,,2026-06-07 13:04:53
4,0.130190,96.1100,,,2026-06-07 13:05:00
5,0.100142,96.8400,,,2026-06-07 13:05:08
6,0.091277,97.2800,,,2026-06-07 13:05:16
7,0.086558,97.1800,,,2026-06-07 13:05:25
8,0.078396,97.5100,,,2026-06-07 13:05:33
9,0.071032,97.7000,,,2026-06-07 13:05:40
10,0.061318,98.2000,,,2026-06-07 13:05:47
11,0.067310,97.9300,,,2026-06-07 13:05:55
12,0.055960,98.3000,,,2026-06-07 13:06:03
13,0.055760,98.2700,,,2026-06-07 13:06:10
14,0.051035,98.4100,,,2026-06-07 13:06:17
15,0.050311,98.4400,,,2026-06-07 13:06:26
16,0.046068,98.4500,,,2026-06-07 13:06:34
17,0.046313,98.5000,,,2026-06-07 13:06:43
18,0.041405,98.7100,,,2026-06-07 13:06:51
19,0.042301,98.6500,,,2026-06-07 13:06:59
20,0.042862,98.6500,,,2026-06-07 13:07:05
21,0.042305,98.5600,,,2026-06-07 13:07:13
22,0.039989,98.6800,,,2026-06-07 13:07:21
23,0.035964,98.7900,,,2026-06-07 13:07:29
24,0.039833,98.7100,,,2026-06-07 13:07:38
25,0.034929,98.8000,,,2026-06-07 13:07:45
26,0.038089,98.6800,,,2026-06-07 13:07:53
27,0.036477,98.6900,,,2026-06-07 13:08:01
28,0.036273,98.7600,,,2026-06-07 13:08:07
29,0.039818,98.7100,,,2026-06-07 13:08:14
30,0.034480,98.7800,,,2026-06-07 13:08:22
