dataset,aggregation,attack,partition,alpha,malicious,tau,attack_until,n_seeds,asr_mean,asr_std,evasion_mean,evasion_std,accuracy_mean
mnist,flame,geotox_adaptive,noniid,0.5,4,0.0,15,3,21.328573333333335,36.34565520512917,80.55555333333334,16.859991652386228,98.60199999999999
mnist,flame,geotox,iid,,4,0.5,0,3,16.806366666666666,21.630787583500823,100.0,0.0,98.86733333333332
mnist,flame,geotox,noniid,0.1,4,0.5,0,3,54.664880000000004,40.55420036778435,100.0,0.0,97.42666666666666
mnist,flame,geotox,noniid,0.3,4,0.5,0,3,31.607213333333334,30.39187451562232,100.0,0.0,98.27933333333333
mnist,flame,geotox,noniid,0.5,4,0.0,0,3,38.18622,44.37855651519549,91.11111333333334,10.183502271739979,98.47866666666668
mnist,flame,geotox,noniid,0.5,4,0.3,0,3,42.30792,47.920607622203626,100.0,0.0,98.59466666666667
mnist,flame,geotox,noniid,0.5,4,0.5,0,3,28.684780000000003,22.495173405946446,100.0,0.0,98.556
mnist,flame,geotox,noniid,0.5,4,0.6,0,3,23.710053333333335,19.82692940150172,100.0,0.0,98.58600000000001
mnist,flame,geotox,noniid,0.5,4,0.9,0,3,0.36706666666666665,0.09869382419043925,100.0,0.0,98.58800000000001
mnist,flame,geotox,noniid,0.5,4,0.0,15,3,0.5587733333333333,0.5097892946437118,77.77777999999999,3.848997945595715,98.56066666666668
mnist,flame,geotox,noniid,1.0,4,0.5,0,3,6.88736,9.5834753248078,100.0,0.0,98.74000000000001
mnist,flame,lie,noniid,0.5,4,,0,0,,,63.333333333333336,40.414518843273804,69.01933333333334
mnist,flame,minmax,noniid,0.5,4,,0,0,,,15.555553333333334,7.698007438196805,84.80933333333333
mnist,flame,model_replacement,noniid,0.5,4,,0,3,96.06256666666667,3.1061584513564893,63.88888666666667,9.76577792695151,98.37933333333332
mnist,flame,none,noniid,0.5,0,,0,0,,,,,98.65733333333333
mnist,fltrust,geotox,noniid,0.5,4,0.0,0,3,0.3462733333333334,0.06451228203476712,20.0,20.0,97.51199999999999
mnist,fltrust,geotox,noniid,0.5,4,0.3,0,3,0.35444666666666674,0.0734093245666607,36.666666666666664,35.11884584284247,97.46866666666666
mnist,fltrust,geotox,noniid,0.5,4,0.6,0,3,0.38414666666666664,0.0844193942961766,57.77778,32.885887325495716,97.56133333333332
mnist,fltrust,geotox,noniid,0.5,4,0.9,0,3,0.34106,0.07933992437606678,64.44444666666666,13.877770660971931,97.75
mnist,fltrust,lie,noniid,0.5,4,,0,0,,,20.0,34.64101615137755,97.456
mnist,fltrust,minmax,noniid,0.5,4,,0,0,,,13.333333333333334,23.09401076758503,97.45866666666666
mnist,fltrust,model_replacement,noniid,0.5,4,,0,3,0.3425466666666666,0.0652288596660507,17.77778,16.777412946732877,97.50066666666667
mnist,fltrust,none,noniid,0.5,0,,0,0,,,,,97.52999999999999
mnist,krum,geotox,noniid,0.5,4,0.0,0,3,2.423853333333333,1.9460798927416452,3.8888866666666666,3.4694406636420996,90.07733333333333
mnist,krum,geotox,noniid,0.5,4,0.3,0,3,2.34062,2.00996105156294,3.8888866666666666,3.4694406636420996,89.462
mnist,krum,geotox,noniid,0.5,4,0.6,0,3,44.21534,35.74874443147899,9.44444,6.309895814131957,94.346
mnist,krum,geotox,noniid,0.5,4,0.9,0,3,97.06717333333334,1.3065499562333318,47.222213333333336,17.34721933102056,97.63666666666666
mnist,krum,lie,noniid,0.5,4,,0,0,,,0.0,0.0,93.42333333333333
mnist,krum,minmax,noniid,0.5,4,,0,0,,,0.0,0.0,93.42333333333333
mnist,krum,model_replacement,noniid,0.5,4,,0,3,0.6018533333333334,0.345178927707549,0.0,0.0,93.44133333333333
mnist,krum,none,noniid,0.5,0,,0,0,,,,,93.59466666666667
mnist,mean,geotox,noniid,0.5,4,0.0,0,3,37.52117333333334,37.11969071446762,100.0,0.0,98.65866666666666
mnist,mean,geotox,noniid,0.5,4,0.3,0,3,21.340453333333333,24.758605452216678,100.0,0.0,98.66266666666667
mnist,mean,geotox,noniid,0.5,4,0.6,0,3,2.48328,2.304016305411053,100.0,0.0,98.68666666666667
mnist,mean,geotox,noniid,0.5,4,0.9,0,3,0.2823533333333333,0.02445078594510476,100.0,0.0,98.65866666666666
mnist,mean,lie,noniid,0.5,4,,0,0,,,100.0,0.0,97.17133333333334
mnist,mean,minmax,noniid,0.5,4,,0,0,,,100.0,0.0,9.866666666666667
mnist,mean,model_replacement,noniid,0.5,4,,0,3,99.75331999999999,0.301845653273327,100.0,0.0,97.07800000000002
mnist,mean,none,noniid,0.5,0,,0,0,,,,,98.71
