round,loss,accuracy,asr,evasion_rate,timestamp
1,2.674404,25.2600,,,2026-06-07 15:43:44
2,2.185659,50.0700,,,2026-06-07 15:43:51
3,1.452036,57.0700,,,2026-06-07 15:43:58
4,0.892192,72.2200,,,2026-06-07 15:44:05
5,0.359314,88.5400,,,2026-06-07 15:44:13
6,0.371041,87.9100,,,2026-06-07 15:44:21
7,0.454935,84.7600,,,2026-06-07 15:44:29
8,0.269992,91.4700,,,2026-06-07 15:44:37
9,0.470132,86.2700,,,2026-06-07 15:44:44
10,0.279196,91.9200,,,2026-06-07 15:44:52
11,0.231965,92.5600,,,2026-06-07 15:45:00
12,0.226366,92.5300,,,2026-06-07 15:45:07
13,0.324016,89.8000,,,2026-06-07 15:45:14
14,0.222097,93.5600,,,2026-06-07 15:45:22
15,0.242684,92.6900,,,2026-06-07 15:45:31
16,0.305658,91.2600,,,2026-06-07 15:45:39
17,0.318186,90.5000,,,2026-06-07 15:45:47
18,0.503398,84.7000,,,2026-06-07 15:45:56
19,0.291905,90.6900,,,2026-06-07 15:46:03
20,0.313820,91.1800,,,2026-06-07 15:46:10
21,0.241881,93.1100,,,2026-06-07 15:46:18
22,0.260515,93.0200,,,2026-06-07 15:46:26
23,0.327478,89.3100,,,2026-06-07 15:46:34
24,0.254314,92.3000,,,2026-06-07 15:46:43
25,0.209609,94.0400,,,2026-06-07 15:46:50
26,0.241793,93.2300,,,2026-06-07 15:46:58
27,0.275540,92.2000,,,2026-06-07 15:47:06
28,0.273970,92.4300,,,2026-06-07 15:47:12
29,0.233770,93.9200,,,2026-06-07 15:47:19
30,0.272763,93.0800,,,2026-06-07 15:47:27
